ema,lorentzian_k,lorentzian_horizon,andean_length,min_atr_pct,risk,rr,exit_mode,m15_adx_min,require_ema50_slope,session,profit_pct,final_balance,total_trades,trades_per_day,winrate,profit_factor,max_drawdown_pct,avg_win,avg_loss,expectancy,negative_months,signal_candidates,passes_robust_filter
50/200,8,8,50,0.002,0.005,2.0,be_1_2,20,False,14_20,-0.7736123360498481,992.2638766395015,217,0.592896174863388,29.493087557603687,0.9860028451149562,-6.950835265493328,8.514944316203849,-3.612369670572186,-0.035650338066811706,7,1694,False
50/200,8,8,50,0.002,0.005,2.0,fixed,20,True,all,-1.3882440366689253,986.1175596333107,270,0.7377049180327869,37.03703703703704,0.9837243741386542,-9.634708445148386,8.39076486371691,-5.017405451402236,-0.05141644580255152,6,3134,False
50/200,8,8,50,0.002,0.005,2.0,be_1_2,25,False,14_20,-0.8186393269896372,991.8136067301036,199,0.5437158469945356,29.145728643216078,0.9834856265487795,-5.264004994224692,8.405634975057602,-3.515696608675444,-0.041137654622596255,6,1509,False
50/200,8,8,50,0.002,0.005,1.5,fixed,25,True,all,-1.3288382737164852,986.7116172628351,282,0.7704918032786885,44.680851063829785,0.9826788391863794,-6.644376496759799,5.983236830321629,-4.917796303574935,-0.047121924599874555,6,2848,False
50/200,8,8,50,0.002,0.005,1.5,partial_1r,18,False,all,-1.8746757390201652,981.2532426097983,497,1.3579234972677596,60.36217303822937,0.9753926255327598,-6.876160937865218,2.4769605733973843,-3.8671823827889154,-0.037719833783100544,6,3634,False
50/200,8,8,50,0.002,0.005,1.5,be_1_2,25,True,14_20,-1.2527951191949682,987.4720488080503,193,0.5273224043715847,39.37823834196891,0.9737340333583807,-6.573419784085971,6.111016010656478,-4.076625367537121,-0.06491166420699877,5,1354,False
50/200,8,8,50,0.002,0.005,2.5,be_1_2,20,True,all,-1.7020999043995628,982.9790009560044,252,0.6885245901639344,23.809523809523807,0.9735024810977475,-7.986153284267596,10.422349894480252,-3.3456353787125597,-0.06754364699998537,6,3134,False
50/200,8,8,50,0.002,0.005,2.0,be_1_no_lock,25,False,all,-1.7114802940673939,982.8851970593261,276,0.7540983606557377,27.536231884057973,0.9732345043707732,-7.3473868681113785,8.188427697769022,-3.1971765398556,-0.06201015558215319,7,3133,False
50/200,8,8,50,0.002,0.005,2.0,partial_1r,25,True,all,-1.7831848819573453,982.1681511804265,401,1.0956284153005464,54.11471321695761,0.9704509754534322,-6.203409726430962,2.698777568364652,-3.279709680188604,-0.04446845092163012,7,2848,False
50/200,8,8,50,0.002,0.005,2.0,be_1_no_lock,20,False,14_20,-1.5450033455640322,984.5499665443597,220,0.6010928961748634,26.81818181818182,0.9698334247403895,-6.764788572609265,8.418768196193145,-3.181101596466059,-0.0702274247983633,7,1694,False
50/200,8,8,50,0.002,0.005,2.5,fixed,18,False,14_20,-2.236534037489707,977.6346596251029,208,0.5683060109289617,31.25,0.9693420203156861,-8.657594871626866,10.87916748556336,-5.101477111444176,-0.1075256748793205,6,1783,False
50/200,8,8,50,0.002,0.005,2.5,partial_1r,25,False,all,-1.9294570521768035,980.705429478232,413,1.1284153005464481,50.363196125908,0.9684532589909401,-6.760238355000651,2.8477112155564126,-2.9835048944268374,-0.04671808843043081,6,3133,False
50/200,8,8,50,0.002,0.005,2.5,partial_1r,18,False,14_20,-1.6411135749916526,983.5888642500835,338,0.9234972677595629,49.70414201183432,0.9677185697016809,-7.481345687399885,2.9283680661001847,-2.990452769733819,-0.04855365606484667,7,1783,False
50/200,8,8,50,0.002,0.005,2.0,partial_1r,25,False,all,-2.0872211878116107,979.1277881218839,431,1.1775956284153006,53.82830626450116,0.96752835455373,-6.840028480943991,2.680648648360129,-3.230063810541048,-0.04842740574969514,7,3133,False
50/200,8,8,50,0.002,0.005,2.5,partial_1r,25,True,14_20,-1.2918115139668884,987.0818848603311,267,0.7295081967213115,49.43820224719101,0.9674334185427953,-5.409178699562889,2.9071947961771247,-2.938280209148516,-0.04838245370662631,7,1354,False
50/200,8,8,50,0.002,0.005,2.0,be_1_2,20,False,all,-2.3034953142884547,976.9650468571155,286,0.7814207650273224,29.02097902097902,0.967083852978332,-7.658966926127006,8.153881196835021,-3.447325578720152,-0.08054179420588804,6,3475,False
50/200,8,8,50,0.002,0.005,2.0,be_1_2,18,False,all,-2.4073425602942624,975.9265743970574,292,0.7978142076502732,29.45205479452055,0.9670332240819913,-8.881311640283855,8.211157109590426,-3.544820082658829,-0.08244323836624029,6,3634,False
50/200,8,8,50,0.002,0.005,2.5,be_1_no_lock,25,False,all,-2.182199346959965,978.1780065304004,262,0.7158469945355191,21.755725190839694,0.9644985505474688,-7.058164687472698,10.400999136880047,-2.9984338744963996,-0.08329005141068394,6,3133,False
50/200,8,8,50,0.002,0.005,2.5,be_1_2,25,False,all,-2.484007567130527,975.1599243286947,263,0.7185792349726776,23.574144486692013,0.9629340686717295,-8.78265556039552,10.408373314673744,-3.334125478512822,-0.09444895692511424,6,3133,False
