ema,lorentzian_k,lorentzian_horizon,andean_length,min_atr_pct,risk,rr,exit_mode,m15_adx_min,require_m15_adx_rising,require_ema50_slope,use_h1_bias,session,min_hold_minutes,partial_pct,trail_type,profit_pct,final_balance,total_trades,trades_per_day,winrate,profit_factor,max_drawdown_pct,avg_win,avg_loss,expectancy,negative_months,signal_candidates,passes_robust_filter
50/200,8,8,50,0.002,0.005,0.0,partial_trailing,20,True,False,False,14_20,25,0.5,ema20,-18.98836270333402,810.1163729666598,230,0.6284153005464481,47.391304347826086,0.5938881588039991,-19.22887699547547,2.547534266832769,-3.86417241419928,-0.8255809871014831,10,1009,False
50/200,8,8,50,0.002,0.005,0.0,partial_trailing,20,True,False,True,14_20,15,0.3,prev_candle,-18.05829255067372,819.4170744932628,249,0.680327868852459,50.602409638554214,0.5924593565695397,-18.481843667723222,2.0835012969620506,-3.602472267674429,-0.7252326325571743,10,990,False
50/200,8,8,50,0.002,0.005,0.0,partial_trailing,20,True,False,True,14_20,25,0.5,ema20,-18.942527564858494,810.5747243514151,223,0.6092896174863388,47.08520179372198,0.5864217408545473,-19.432578868165013,2.558002654736089,-3.8814877491175803,-0.849440697975718,10,990,False
50/200,8,8,50,0.002,0.005,0.0,partial_trailing,20,True,False,True,all,15,0.5,prev_candle,-23.53600237733988,764.6399762266012,375,1.0245901639344261,52.0,0.5828350233934367,-24.444301245509994,1.6863040745335802,-3.13438510170804,-0.6276267300623977,10,2078,False
50/200,8,8,50,0.002,0.005,0.0,partial_trailing,20,True,False,True,all,25,0.5,prev_candle,-26.354245333791788,736.4575466620821,360,0.9836065573770492,51.11111111111111,0.5617252897449134,-26.852272388876358,1.8357364324818497,-3.416579300651008,-0.7320623703831028,11,2078,False
50/200,8,8,50,0.002,0.005,0.0,partial_trailing,20,True,False,False,14_20,25,0.3,prev_candle,-21.510009226869293,784.899907731307,244,0.6666666666666666,47.950819672131146,0.5579521796668246,-22.14911651066184,2.320504740546136,-3.8314893457684382,-0.8815577551995645,10,1009,False
50/200,8,8,50,0.002,0.005,0.0,partial_trailing,20,True,False,True,14_20,25,0.3,prev_candle,-21.294992065762667,787.0500793423734,236,0.644808743169399,47.88135593220339,0.5500071990610664,-21.935850133731,2.3033601410148137,-3.8473952568479777,-0.9023301722780817,10,990,False
50/200,8,8,50,0.002,0.005,0.0,partial_trailing,20,True,False,False,14_20,15,0.5,prev_candle,-20.82819797797158,791.7180202202842,257,0.7021857923497268,50.583657587548636,0.5317457775252401,-20.858854955376316,1.819410482049071,-3.5024042712290906,-0.8104357189872191,10,1009,False
50/200,8,8,50,0.002,0.005,0.0,partial_trailing,20,True,False,True,14_20,15,0.5,prev_candle,-20.458210582723325,795.4178941727668,249,0.680327868852459,50.602409638554214,0.529228388814678,-20.489010826984778,1.825281979741252,-3.5330702054848073,-0.8216148828402953,10,990,False
50/200,8,8,50,0.002,0.005,0.0,partial_trailing,20,True,False,False,14_20,25,0.5,prev_candle,-24.56939382235354,754.3060617764646,244,0.6666666666666666,47.950819672131146,0.4846953483573929,-24.77730899488003,1.9752104239953059,-3.754279982921154,-1.0069423697685893,10,1009,False
50/200,8,8,50,0.002,0.005,0.0,partial_trailing,20,True,False,True,14_20,25,0.5,prev_candle,-24.12509119287638,758.7490880712362,236,0.644808743169399,47.88135593220339,0.4801132574881673,-24.334231030860863,1.9716302639861478,-3.7727246484487704,-1.0222496268167967,10,990,False
