symbol,variant,strategy,month,trades,pnl,wins,losses
XAUUSDm,A_sweep_lb30_wick2_rr2_atr20,sweep,2026-04,65,-532.4597797581233,19,46
XAUUSDm,A_sweep_lb30_wick2_rr2_atr20,sweep,2026-05,12,-160.02879611395636,3,9
XAUUSDm,A_sweep_lb30_wick2_rr2_atr30,sweep,2025-01,65,-704.5740693751624,23,42
XAUUSDm,A_sweep_lb30_wick2_rr2_atr30,sweep,2025-02,63,-990.6506352879215,16,47
XAUUSDm,A_sweep_lb30_wick2_rr2_atr30,sweep,2025-03,63,-671.507595186196,21,42
XAUUSDm,A_sweep_lb30_wick2_rr2_atr30,sweep,2025-04,64,-601.5411364587435,18,46
XAUUSDm,A_sweep_lb30_wick2_rr2_atr30,sweep,2025-05,68,-820.2873210064168,17,51
XAUUSDm,A_sweep_lb30_wick2_rr2_atr30,sweep,2025-06,60,-590.2947947080122,18,42
XAUUSDm,A_sweep_lb30_wick2_rr2_atr30,sweep,2025-07,75,-1098.5037967427102,21,54
XAUUSDm,A_sweep_lb30_wick2_rr2_atr30,sweep,2025-08,64,-1294.306699858567,15,49
XAUUSDm,A_sweep_lb30_wick2_rr2_atr30,sweep,2025-09,67,-946.278371306753,18,49
XAUUSDm,A_sweep_lb30_wick2_rr2_atr30,sweep,2025-10,69,1.615346692646927,28,41
XAUUSDm,A_sweep_lb30_wick2_rr2_atr30,sweep,2025-11,60,14.14308040481373,25,35
XAUUSDm,A_sweep_lb30_wick2_rr2_atr30,sweep,2025-12,64,-789.6717146137681,17,47
XAUUSDm,A_sweep_lb30_wick2_rr2_atr30,sweep,2026-01,63,-901.0055870112634,15,48
XAUUSDm,A_sweep_lb30_wick2_rr2_atr30,sweep,2026-02,61,-214.9670103165875,21,40
XAUUSDm,A_sweep_lb30_wick2_rr2_atr30,sweep,2026-03,69,-449.03929073506777,20,49
XAUUSDm,A_sweep_lb30_wick2_rr2_atr30,sweep,2026-04,63,-445.28629008344427,19,44
XAUUSDm,A_sweep_lb30_wick2_rr2_atr30,sweep,2026-05,12,-161.00676406666656,3,9
XAUUSDm,A_sweep_lb30_wick2_rr2_atr40,sweep,2025-01,64,-1007.7283491691061,18,46
